House_ID,Area_sqft,Bedrooms,House_Age_Years,Distance_From_City_km,Price_Lakh
1,1859,1,0,15.1,92.36
2,835,1,21,15.1,28.09
3,1759,4,1,1.6,109.62
4,1584,5,0,11.7,103.44
5,1986,5,13,5.2,121.75
6,2207,1,24,16.3,102.84
7,1246,3,4,5.1,79.17
8,759,1,12,2.8,41.71
9,1786,3,25,1.8,96.14
10,805,4,2,11.5,56.5
11,1816,3,18,4.7,94.79
12,1904,2,24,6.5,90.6
13,1026,1,12,6.3,51.23
14,1297,2,11,7.8,70.48
15,1987,1,19,13.1,93.92
16,1051,2,14,8.2,58.83
17,1860,5,7,14.0,114.56
18,2139,1,7,16.6,109.51
19,1371,3,2,5.0,89.37
20,2344,3,6,13.5,127.74
21,2422,4,4,6.0,141.47
22,1699,5,8,15.2,99.29
23,1745,4,11,5.2,110.0
24,1593,4,2,15.4,97.3
25,863,2,25,13.9,33.45
26,1338,4,19,19.9,66.56
27,1683,1,21,14.7,76.67
28,1649,3,24,13.2,76.43
29,1440,2,14,1.1,82.34
30,2023,3,16,15.5,104.43
31,767,3,26,13.1,32.87
32,863,3,24,4.1,50.13
33,2439,5,29,1.0,137.83
34,589,1,29,7.9,20.84
35,2202,3,7,2.1,133.72
36,2489,1,2,14.9,132.91
37,2107,5,24,3.4,124.55
38,2489,5,5,6.0,156.61
39,1416,2,29,11.2,65.29
40,961,3,12,19.9,46.63
41,1447,5,14,3.3,88.61
42,1242,1,18,11.5,55.35
43,564,1,22,13.0,15
44,2404,1,27,7.3,116.56
45,1120,4,6,11.2,70.58
46,2357,5,18,10.0,138.15
47,2203,4,6,2.8,135.67
48,1275,4,13,9.9,76.3
49,1929,1,1,8.6,101.67
50,2314,1,7,4.6,124.91
51,837,4,5,6.3,53.56
52,2440,1,14,16.4,122.97
53,750,1,20,20.0,23.78
54,741,2,5,8.7,40.26
55,2320,4,28,2.1,127.17
56,1349,3,29,15.9,59.28
57,1416,5,21,14.6,73.74
58,1157,2,30,2.1,57.39
59,674,3,1,2.0,48.24
60,2432,5,5,2.1,152.03
61,2293,2,2,12.3,126.89
62,1031,4,3,18.9,59.72
63,1735,5,1,12.8,106.81
64,1745,5,16,7.0,101.55
65,1921,3,7,6.0,106.38
66,1871,3,14,7.0,106.48
67,698,1,14,12.8,26.35
68,754,1,17,5.0,30.05
69,2461,3,28,2.3,128.66
70,1133,2,14,16.8,53.46
71,1802,5,0,13.7,111.99
72,2458,1,30,17.7,107.09
73,2372,1,23,11.5,110.95
74,1788,2,22,7.5,91.86
75,2296,3,16,10.3,128.12
76,2282,1,2,13.1,123.04
77,640,1,10,15.7,24.07
78,1086,2,23,9.4,51.5
79,1698,1,3,2.4,99.04
80,2401,2,17,1.7,128.86
81,1681,2,13,3.4,89.45
82,2391,1,28,7.8,116.94
83,1915,1,11,15.8,96.53
84,1382,5,23,3.9,88.09
85,2320,2,25,16.4,115.13
86,600,2,23,18.6,18.79
87,1393,2,8,4.0,80.63
88,1333,1,27,9.9,51.93
89,2430,4,11,6.8,144.04
90,1016,2,0,13.5,53.54
91,1120,1,30,15.7,36.04
92,1593,4,21,19.6,79.8
93,2473,1,3,17.7,122.72
94,1739,3,1,3.1,105.48
95,2042,3,13,12.5,109.42
96,1338,5,6,5.8,90.95
97,553,5,29,16.3,26.98
98,2475,2,11,9.2,137.56
99,2435,3,19,7.0,135.9
100,2024,3,16,6.9,109.75
