Student_ID,Study_Hours,Attendance,Assignments_Completed,Previous_Score,Sleep_Hours,Grade
STU001,4.4,84,4,49,5.4,C
STU002,9.6,71,8,41,5.8,B
STU003,7.6,91,9,76,7.6,A
STU004,6.4,69,7,30,5.5,B
STU005,2.4,86,1,43,6.8,C
STU006,2.4,74,3,93,6.4,B
STU007,1.5,94,9,67,7.3,B
STU008,8.8,79,1,66,8.7,B
STU009,6.4,91,9,40,7.7,A
STU010,7.4,55,8,32,5.1,C
STU011,1.2,52,1,62,4.2,D
STU012,9.7,89,6,35,5.3,A
STU013,8.5,99,5,79,7.0,A
STU014,2.9,81,6,39,4.3,C
STU015,2.6,69,10,34,6.5,C
STU016,2.7,58,5,52,7.0,D
STU017,3.7,56,6,39,5.7,C
STU018,5.7,95,5,73,7.9,B
STU019,4.9,58,5,31,4.5,D
STU020,3.6,67,4,42,4.4,D
STU021,6.5,97,3,69,7.6,A
STU022,2.3,94,3,31,6.5,C
STU023,3.6,65,4,94,7.4,B
STU024,4.3,76,9,92,6.2,A
STU025,5.1,65,2,46,5.2,C
STU026,8.1,92,9,38,8.1,A
STU027,2.8,62,1,44,8.0,D
STU028,5.6,48,1,53,7.5,C
STU029,6.3,51,5,67,5.4,B
STU030,1.4,92,6,64,7.0,B
STU031,6.5,40,6,78,5.8,B
STU032,2.5,97,3,91,4.5,B
STU033,1.6,97,7,89,8.6,A
STU034,9.5,40,9,79,4.7,A
STU035,9.7,86,10,38,8.8,A
STU036,8.3,73,8,63,6.2,A
STU037,3.7,71,6,64,4.9,B
STU038,1.9,93,8,30,6.7,C
STU039,7.2,87,5,69,8.4,A
STU040,5.0,64,8,93,7.7,A
STU041,2.1,79,10,51,8.0,B
STU042,5.5,84,4,89,7.3,B
STU043,1.3,92,10,93,7.5,B
STU044,9.2,40,8,40,8.2,A
STU045,3.3,55,10,43,5.2,C
STU046,7.0,100,2,89,6.4,B
STU047,3.8,78,5,59,5.1,C
STU048,5.7,44,9,64,8.9,A
STU049,5.9,61,4,66,8.7,A
STU050,2.7,68,6,34,4.2,C
STU051,9.7,94,1,55,7.5,A
STU052,8.0,42,9,91,8.6,A
STU053,9.5,51,1,33,4.9,C
STU054,9.1,65,5,71,6.8,B
STU055,6.4,55,4,47,8.6,C
STU056,9.3,90,3,69,4.2,B
STU057,1.8,76,6,68,7.5,B
STU058,2.8,61,2,43,5.5,D
STU059,1.4,96,3,61,8.6,C
STU060,3.9,68,5,80,8.9,A
STU061,4.5,53,9,67,8.7,B
STU062,3.4,67,2,52,6.4,D
STU063,8.5,44,10,92,8.3,A
STU064,4.2,86,8,44,8.2,B
STU065,3.5,88,2,54,5.6,B
STU066,5.9,69,5,46,8.1,B
STU067,2.3,85,7,95,4.2,B
STU068,8.2,91,8,82,7.0,A
STU069,1.7,44,1,80,5.2,D
STU070,9.9,51,6,68,4.6,A
STU071,8.0,55,1,80,4.4,B
STU072,2.8,65,2,35,7.5,D
STU073,1.0,65,1,36,5.7,D
STU074,8.3,87,5,80,7.6,A
STU075,7.4,60,10,71,4.3,A
STU076,7.6,78,9,93,5.6,A
STU077,7.9,75,6,44,6.7,B
STU078,1.7,72,1,58,8.0,D
STU079,4.2,69,1,62,5.6,C
STU080,2.0,76,2,56,7.1,D
STU081,8.8,62,9,65,8.4,A
STU082,6.6,97,3,58,7.1,A
STU083,4.0,49,1,67,5.2,C
STU084,1.6,93,5,86,4.1,C
STU085,3.8,44,7,56,8.4,B
STU086,3.9,75,6,84,4.1,C
STU087,7.6,73,1,62,8.4,B
STU088,6.7,91,5,95,6.6,B
STU089,9.0,70,5,39,8.7,B
STU090,5.2,49,6,34,8.0,C
STU091,2.1,97,3,67,9.0,C
STU092,7.4,58,5,42,5.8,B
STU093,7.8,97,7,60,7.8,A
STU094,6.1,71,5,76,6.0,B
STU095,7.9,40,5,81,6.4,B
STU096,5.4,95,5,85,7.1,A
STU097,5.7,44,10,44,8.4,B
STU098,4.8,84,10,58,8.9,B
STU099,1.2,43,3,37,7.8,D
STU100,2.0,55,1,34,6.1,D
STU101,1.3,63,5,58,6.1,D
STU102,6.7,55,9,76,7.7,A
STU103,3.8,94,1,74,5.2,B
STU104,5.6,41,3,31,4.6,C
STU105,9.2,88,4,56,5.8,A
STU106,3.2,67,1,65,5.4,D
STU107,4.7,71,1,65,5.5,C
STU108,7.8,66,8,55,5.2,A
STU109,3.1,59,2,72,4.2,C
STU110,1.7,63,8,56,4.1,C
STU111,3.6,51,7,49,8.9,B
STU112,2.5,89,10,40,6.1,B
STU113,9.4,74,10,67,5.9,A
STU114,8.3,99,2,35,7.4,B
STU115,6.7,72,6,52,5.1,B
STU116,8.8,72,6,76,8.7,A
STU117,8.2,100,3,75,7.9,A
STU118,2.7,90,2,41,4.4,D
STU119,9.0,82,1,42,6.1,B
STU120,5.9,76,6,91,8.4,A
STU121,8.3,51,5,89,8.7,A
STU122,9.1,42,9,72,6.3,B
STU123,3.9,40,1,34,7.1,D
STU124,2.0,72,7,66,4.8,C
STU125,3.1,79,5,60,9.0,B
STU126,4.8,49,5,38,5.2,D
STU127,8.4,82,2,80,8.7,A
STU128,8.7,83,3,58,7.2,B
STU129,1.1,68,7,69,7.0,B
STU130,5.6,52,6,70,6.6,C
STU131,4.8,51,2,40,5.2,C
STU132,3.0,70,6,52,4.9,C
STU133,2.1,85,2,30,5.1,D
STU134,4.0,41,2,75,4.9,C
STU135,9.5,100,2,50,7.9,A
STU136,3.9,90,3,65,5.8,C
STU137,5.7,89,2,83,4.3,B
STU138,7.3,74,4,86,8.8,A
STU139,4.3,62,9,30,8.4,B
STU140,9.7,56,6,92,8.6,A
STU141,9.7,65,1,83,9.0,A
STU142,3.3,47,8,84,4.9,B
STU143,5.5,68,7,69,6.0,B
STU144,3.7,65,10,44,7.8,B
STU145,3.6,49,3,50,7.5,C
STU146,1.3,65,1,76,4.8,C
STU147,6.5,73,5,82,8.1,A
STU148,5.5,90,4,38,5.1,C
STU149,1.5,80,10,81,5.1,A
STU150,3.5,46,8,86,6.7,C
STU151,9.2,43,1,55,7.0,B
STU152,3.2,97,10,70,6.9,B
STU153,2.3,92,1,64,4.5,C
STU154,5.4,89,4,92,8.4,A
STU155,9.9,84,8,54,5.3,A
STU156,3.2,50,5,67,4.6,C
STU157,7.0,68,2,31,8.4,B
STU158,7.9,95,6,36,8.8,A
STU159,3.1,75,5,63,8.3,C
STU160,7.6,64,2,46,8.0,B
STU161,4.3,60,3,72,7.3,B
STU162,6.7,100,9,88,6.8,A
STU163,6.7,96,7,80,4.4,A
STU164,5.8,75,7,83,6.0,A
STU165,1.8,49,6,53,5.9,D
STU166,8.5,76,8,54,5.3,A
STU167,3.9,48,4,81,7.6,C
STU168,2.7,63,8,62,6.5,B
STU169,1.4,74,4,78,4.4,C
STU170,6.3,88,8,58,5.1,A
STU171,7.1,74,9,92,7.4,A
STU172,1.1,87,3,51,4.4,D
STU173,5.6,75,3,55,8.3,B
STU174,3.0,57,2,57,6.5,D
STU175,6.8,88,10,78,6.4,A
STU176,2.6,78,3,78,7.0,D
STU177,7.2,71,3,49,8.1,B
STU178,4.5,63,5,92,5.7,C
STU179,9.4,62,5,90,7.4,A
STU180,2.2,71,2,78,6.8,C
STU181,4.1,76,10,30,5.3,C
STU182,2.0,51,6,42,8.4,C
STU183,9.3,88,5,80,8.0,A
STU184,8.9,94,6,85,7.3,A
STU185,3.3,52,1,91,8.3,D
STU186,6.9,62,5,61,8.3,A
STU187,8.4,64,9,59,7.5,A
STU188,6.0,74,10,58,8.2,B
STU189,5.8,80,2,78,7.5,B
STU190,3.2,69,1,74,7.4,B
STU191,1.8,56,10,59,7.1,B
STU192,9.1,88,9,45,7.8,A
STU193,9.1,59,10,69,4.8,A
STU194,6.7,87,9,48,8.4,A
STU195,4.1,64,9,47,8.4,B
STU196,4.1,61,6,30,4.1,C
STU197,7.5,52,8,76,8.1,A
STU198,9.1,98,1,95,4.6,A
STU199,9.0,58,10,67,5.7,A
STU200,8.0,88,4,80,7.7,A
STU201,6.8,75,1,92,4.8,C
STU202,1.8,51,8,33,8.1,C
STU203,2.5,100,1,30,8.2,D
STU204,9.1,80,3,37,6.5,B
STU205,6.5,58,4,58,4.0,C
STU206,1.1,51,8,84,5.4,B
STU207,1.9,48,6,32,7.1,C
STU208,7.0,46,10,61,8.9,B
STU209,1.0,67,7,39,7.2,D
STU210,2.4,53,8,63,5.3,B
STU211,5.9,70,2,84,7.2,B
STU212,7.2,91,10,61,6.7,A
STU213,6.9,58,8,79,7.9,A
STU214,3.0,97,3,36,4.5,D
STU215,7.4,86,7,37,7.8,A
STU216,3.1,55,3,94,6.7,C
STU217,3.9,92,7,86,8.8,A
STU218,7.7,44,2,88,5.7,B
STU219,6.8,74,10,83,7.2,A
STU220,8.6,51,6,80,8.7,A
STU221,6.9,64,3,37,4.5,C
STU222,6.1,91,3,63,8.7,B
STU223,1.8,98,9,64,7.4,B
STU224,4.3,60,7,61,4.3,B
STU225,3.4,75,5,75,5.5,B
